# Разрез Search Console по page, окно 2026-06-19..2026-09-16. Показов в разрезе 20581 из 19742 в итоге (104%): остальное Google не отдаёт по анонимизации, и это не потеря данных, а её предел
# Снято ботом 2026-09-17. Правки руками будут стёрты следующим прогоном.
site,page,impressions,clicks,ctr,position
mileagecurve,https://mileagecurve.com/mercury-grand-marquis-2003-2011/,5,0,0.0,32.6
mileagecurve,https://mileagecurve.com/mercury/,2,0,0.0,26.5
mileagecurve,https://mileagecurve.com/methodology/,37,0,0.0,4.6
mileagecurve,https://mileagecurve.com/mitsubishi-outlander-2003-2006/,1,0,0.0,54.0
mileagecurve,https://mileagecurve.com/mitsubishi-outlander-2014-2020/,1,0,0.0,71.0
mileagecurve,https://mileagecurve.com/mitsubishi/,22,0,0.0,63.3
mileagecurve,https://mileagecurve.com/nissan-altima-2007-2012/,7,0,0.0,6.6
mileagecurve,https://mileagecurve.com/nissan-frontier-1998-2004/,1,0,0.0,99.0
mileagecurve,https://mileagecurve.com/nissan-maxima-2009-2014/,24,0,0.0,22.6
mileagecurve,https://mileagecurve.com/nissan-murano-2003-2007/,37,0,0.0,43.3
mileagecurve,https://mileagecurve.com/nissan-murano-2009-2014/,1,0,0.0,5.0
mileagecurve,https://mileagecurve.com/nissan-murano-2015-2024/,2,0,0.0,9.0
mileagecurve,https://mileagecurve.com/nissan-pathfinder-1987-1995/,10,0,0.0,19.8
mileagecurve,https://mileagecurve.com/nissan-rogue-2021-2025/,1,0,0.0,11.0
mileagecurve,https://mileagecurve.com/nissan-sentra-2020-2025/,2,0,0.0,18.0
mileagecurve,https://mileagecurve.com/nissan/,44,0,0.0,34.6
mileagecurve,https://mileagecurve.com/oldsmobile-alero-1999-2004/,1,0,0.0,2.0
mileagecurve,https://mileagecurve.com/oldsmobile/,2,0,0.0,42.5
mileagecurve,https://mileagecurve.com/pontiac-g6-2005-2010/,29,0,0.0,17.0
